EmpID,StartDate,ExitDate,JobFamily,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,DivisionGroup,DOB,Region,JobFunctionGroup,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,IsActive,Age,TenureDays,SeniorityLevel
3427,2019-09-20,Present,Production,Peter Oneill,CCDR,Active,Contract,Zone C,Temporary,Unk,Active,Production       ,Finance,1970,Northeast,Finance & Analysis,Female,34904,White,Widowed,Fully Meets,4,True,55.73169062286105,2118,Entry
3428,2023-02-11,Present,Production,Renee Mccormick,EW,Active,Contract,Zone A,Part-Time,Unk,Active,Production       ,Field Engineering / Operations,1972,Northeast,Labor & Site Work,Male,6593,Hispanic,Widowed,Fully Meets,3,True,53.06234417213988,878,Entry
3429,2018-12-10,Present,Sales,Crystal Walker,PL,Active,Full-Time,Zone B,Part-Time,Unk,Active,Sales,General Operations,1970,Northeast,Admin & Support,Male,2330,Hispanic,Widowed,Fully Meets,4,True,33.73579739904175,2402,Manager
3430,2021-06-21,Present,Sales,Rebekah Wright,CCDR,Active,Contract,Zone A,Full-Time,Unk,Active,Sales,Finance,1970,Midwest,Admin & Support,Male,58782,Other,Single,Fully Meets,2,True,27.241615331964407,1478,Manager
3431,2019-06-29,Present,Sales,Jason Kim,TNS,Active,Contract,Zone A,Temporary,Unk,Active,Sales,General Operations,1969,South,Labor & Site Work,Female,33174,Other,Married,Fully Meets,3,True,55.68606300001587,2201,Manager
3432,2020-01-17,Present,Sales,Sheri Campos,BPC,Active,Contract,Zone B,Full-Time,Unk,Active,Sales,Field Engineering / Operations,1970,Northeast,Other,Male,6050,Black,Married,Fully Meets,3,True,76.24366872005476,1999,Manager
3433,2022-04-06,2023-07-03,Sales,Jacob Braun,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General Operations,1970,West,Field Operations,Female,90007,Hispanic,Divorced,Exceeds,4,False,83.00068446269678,453,Manager
3434,2020-11-06,2023-01-29,Sales,Tracy Marquez,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Field Engineering / Operations,1970,West,Engineering,Female,97756,White,Divorced,Fully Meets,2,False,68.31759069130733,814,Manager
3435,2018-08-18,Present,Sales,Sharon Becker,NEL,Active,Contract,Zone B,Part-Time,Unk,Active,Sales,Executive,1970,South,Executive & Leadership,Male,78789,Black,Widowed,Exceeds,3,True,54.81118154162183,2516,Manager
3436,2022-01-21,2023-06-29,Sales,George Jenkins,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Field Engineering / Operations,1970,South,Engineering,Male,78207,Asian,Widowed,Fully Meets,5,False,75.63586584531143,524,Manager
